ID,location,interval,X,Y,count,precip
13,"Americus, GA",2015_09,-84.23,32.07,164,99.20
13,"Americus, GA",2015_08,-84.23,32.07,420,85.98
13,"Americus, GA",2015_07,-84.23,32.07,250,79.38
13,"Americus, GA",2015_06,-84.23,32.07,139,55.40
13,"Americus, GA",2015_05,-84.23,32.07,154,21.69
13,"Americus, GA",2015_04,-84.23,32.07,106,51.96
13,"Americus, GA",2015_03,-84.23,32.07,72,114.16
13,"Americus, GA",2015_02,-84.23,32.07,33,112.81
13,"Americus, GA",2015_01,-84.23,32.07,186,84.71
13,"Americus, GA",2014_11,-84.23,32.07,60,202.58
13,"Americus, GA",2014_10,-84.23,32.07,167,179.36
13,"Americus, GA",2014_09,-84.23,32.07,236,109.16
13,"Americus, GA",2014_08,-84.23,32.07,340,132.34
13,"Americus, GA",2014_07,-84.23,32.07,218,83.68
13,"Americus, GA",2014_06,-84.23,32.07,237,113.79
13,"Americus, GA",2014_05,-84.23,32.07,119,118.19
13,"Americus, GA",2014_04,-84.23,32.07,92,106.23
13,"Americus, GA",2014_03,-84.23,32.07,247,110.49
13,"Americus, GA",2014_02,-84.23,32.07,121,170.95
13,"Americus, GA",2014_01,-84.23,32.07,51,185.19
13,"Americus, GA",2013_11,-84.23,32.07,32,89.48
13,"Americus, GA",2013_10,-84.23,32.07,174,56.59
13,"Americus, GA",2013_09,-84.23,32.07,118,91.50
13,"Americus, GA",2013_08,-84.23,32.07,105,89.35
13,"Americus, GA",2013_07,-84.23,32.07,86,94.52
13,"Americus, GA",2013_06,-84.23,32.07,139,68.99
13,"Americus, GA",2013_05,-84.23,32.07,85,53.53
13,"Americus, GA",2013_04,-84.23,32.07,110,55.16
13,"Americus, GA",2013_03,-84.23,32.07,132,67.38
13,"Americus, GA",2013_02,-84.23,32.07,129,68.60
13,"Americus, GA",2013_01,-84.23,32.07,174,68.75
13,"Americus, GA",2012_11,-84.23,32.07,147,95.10
13,"Americus, GA",2012_10,-84.23,32.07,93,100.76
13,"Americus, GA",2012_09,-84.23,32.07,120,103.25
13,"Americus, GA",2012_08,-84.23,32.07,116,131.23
13,"Americus, GA",2012_07,-84.23,32.07,50,94.39
13,"Americus, GA",2012_06,-84.23,32.07,182,79.40
13,"Americus, GA",2012_05,-84.23,32.07,201,79.61
13,"Americus, GA",2012_04,-84.23,32.07,66,57.94
13,"Americus, GA",2012_03,-84.23,32.07,186,49.82
13,"Americus, GA",2012_02,-84.23,32.07,136,38.80
13,"Americus, GA",2012_01,-84.23,32.07,197,48.44
13,"Americus, GA",2011_11,-84.23,32.07,124,85.44
13,"Americus, GA",2011_10,-84.23,32.07,187,86.08
13,"Americus, GA",2011_09,-84.23,32.07,209,47.06
13,"Americus, GA",2011_08,-84.23,32.07,83,42.30
13,"Americus, GA",2011_07,-84.23,32.07,50,53.99
