location,year,month,weight_range_high
"Americus, GA",2002,8,497.22222222222223
"Americus, GA",2002,9,500.0
"Americus, GA",2002,10,490.0
"Americus, GA",2004,1,489.0625
"Americus, GA",2004,2,423.0769230769231
"Americus, GA",2004,3,409.30232558139534
"Americus, GA",2004,4,446.52777777777777
"Americus, GA",2004,5,440.625
"Americus, GA",2004,6,430.95238095238096
"Americus, GA",2004,7,435.82089552238807
"Americus, GA",2004,8,446.8085106382979
"Americus, GA",2004,9,433.3333333333333
"Americus, GA",2004,10,414.70588235294116
"Americus, GA",2004,11,445.1219512195122
"Americus, GA",2004,12,414.2857142857143
"Americus, GA",2005,1,464.51612903225805
"Americus, GA",2005,2,471.7391304347826
"Americus, GA",2005,3,457.60869565217394
"Americus, GA",2005,4,466.1290322580645
"Americus, GA",2005,5,456.8181818181818
"Americus, GA",2005,6,430.0
"Americus, GA",2005,7,433.6734693877551
"Americus, GA",2005,8,458.46153846153845
"Americus, GA",2005,9,458.69565217391306
"Americus, GA",2005,10,447.72727272727275
"Americus, GA",2005,11,474.390243902439
"Americus, GA",2005,12,447.9166666666667
"Americus, GA",2006,1,444.04761904761904
"Americus, GA",2006,2,407.14285714285717
"Americus, GA",2006,3,424.5762711864407
"Americus, GA",2006,4,441.83673469387753
"Americus, GA",2006,5,418.75
"Americus, GA",2006,6,461.3636363636364
"Americus, GA",2006,7,413.39285714285717
"Americus, GA",2006,8,466.0
"Americus, GA",2006,9,457.4074074074074
"Americus, GA",2006,10,459.7560975609756
"Americus, GA",2006,11,433.92857142857144
"Americus, GA",2006,12,463.3333333333333
"Americus, GA",2007,1,431.57894736842104
"Americus, GA",2007,2,446.15384615384613
"Americus, GA",2007,3,492.85714285714283
"Americus, GA",2007,4,457.14285714285717
"Americus, GA",2007,5,463.95348837209303
"Americus, GA",2007,6,433.3333333333333
"Americus, GA",2007,7,417.85714285714283
"Americus, GA",2007,8,476.056338028169
"Americus, GA",2007,9,468.42105263157896
"Americus, GA",2007,10,450.98039215686276
"Americus, GA",2007,11,483.75
"Americus, GA",2007,12,480.7692307692308
"Americus, GA",2008,1,468.8888888888889
"Americus, GA",2008,2,468.0327868852459
"Americus, GA",2008,3,460.9756097560976
"Americus, GA",2008,4,503.6585365853659
"Americus, GA",2008,5,475.86206896551727
"Americus, GA",2008,6,485.1063829787234
"Americus, GA",2008,7,492.85714285714283
"Americus, GA",2008,8,492.6829268292683
"Americus, GA",2008,9,502.72727272727275
"Americus, GA",2008,10,484.6774193548387
"Americus, GA",2008,11,468.75
"Americus, GA",2008,12,434.09090909090907
"Americus, GA",2009,1,472.5
"Americus, GA",2009,2,445.1219512195122
"Americus, GA",2009,3,502.27272727272725
"Americus, GA",2009,4,455.0
