Auction ID,location,Interval,X,Y,precip,weights
13,"Americus, GA",2004_01,-84.23,32.07,72.44,489.0625
11,"Ashburn, GA",2004_01,-83.65,31.71,99.3,459.6153846
2,"Athens, GA",2004_01,-83.38,33.96,101.15,487.5
18,"Blackshear, GA",2004_01,-82.24,31.31,85.17,467.5
15,"Blakely, GA",2004_01,-84.93,31.38,91.46,489.4736842
10,"Calhoun, GA",2004_01,-84.95,34.5,63.41,474.3589744
7,"Carnesville, GA",2004_01,-83.24,34.37,101.08,463.1578947
4,"Carrollton, GA",2004_01,-85.08,33.58,119.67,477.7777778
1,"Dixie Livestock Market, GA",2004_01,-82.32,32.37,69.14,472.5
19,"Donalsonville, GA",2004_01,-84.88,31.04,100.39,474.4444444
16,"Eastanollee, GA",2004_01,-83.26,34.52,86.71,502.7777778
12,"Fitzgerald, GA",2004_01,-83.25,31.72,92.99,465.5555556
8,"Greensboro, GA",2004_01,-83.18,33.58,105.75,476.8292683
5,"Jackson, GA",2004_01,-83.97,33.3,125.05,459.4594595
2,"Lanier, GA",2004_01,-84,34.28,91.39,466.6666667
20,"Moutlrie, GA",2004_01,-83.79,31.19,46.59,498.8888889
17,"Pulaski Co Stockyard, GA",2004_01,-83.47,32.28,158.56,458.3333333
14,"Swainsboro, GA",2004_01,-82.33,32.6,106.83,450
6,"Thomasville, GA",2004_01,-83.98,30.84,123.45,478.5714286
3,"Washington, GA",2004_01,-82.74,33.74,114.27,422.9166667
13,"Americus, GA",2004_02,-84.23,32.07,74.71,423.0769231
11,"Ashburn, GA",2004_02,-83.65,31.71,56.94,466.8831169
3,"Athens, GA",2004_02,-83.38,33.96,45.8,407.6923077
19,"Blackshear, GA",2004_02,-82.24,31.31,102.16,405.8823529
16,"Blakely, GA",2004_02,-84.93,31.38,71.09,546.3636364
12,"Calhoun, GA",2004_02,-84.95,34.5,92.39,451.6666667
8,"Carnesville, GA",2004_02,-83.24,34.37,105.87,506.9230769
5,"Carrollton, GA",2004_02,-85.08,33.58,105.11,453.7037037
2,"Dixie Livestock Market, GA",2004_02,-82.32,32.37,99.84,484.1772152
20,"Donalsonville, GA",2004_02,-84.88,31.04,43.94,468.4210526
